
song_id,song_name,work_title
1,"LOVE PHANTOM","18th Single　LOVE PHANTOM"
2,"Liar! Liar!","23rd Single　Liar! Liar!"
3,"銀の翼で翔べ","10th Album　Brotherhood"
4,"スイマーよ!!","9th Album　SURVIVE"
5,"ultra soul (Alternative Guitar Solo ver.)","12th Album　GREEN"
6,"煌めく人","11th Album　ELEVEN"
7,"Shower","9th Album　SURVIVE"
8,"イルミネーション","23rd Album　FYOP"
9,"F・E・A・R","10th Album　Brotherhood"
10,"TOKYO DEVIL","11th Album　ELEVEN"
11,"コブシヲニギレ","11th Album　ELEVEN"
12,"扉","11th Album　ELEVEN"
13,"OH! GIRL -Mixture style-","B'z The ""Mixture"""
